Organism,Limb_width,Limb_length,Observer
Turdus migratorius,4.0263753067702055,14.383359767962247,Micaiah E
Cyanocitta cristata,4.140296287834644,14.874546451028436,Micaiah E
Turdus migratorius,3.1097103357315063,14.047407612670213,Micaiah E
Cyanocitta cristata,4.649196103215218,11.446054354310036,Chance G
Cyanocitta stelleri,3.357560481876135,11.985673746094108,Micaiah E
Cyanocitta cristata,3.245489598251879,9.848650556523353,Micaiah E
Pipilo erythrophthalmus,4.183229313232005,6.899615207221359,Rachel D
Zenaida macroura,1.7156219063326716,11.821692555677146,Rachel D
Turdus migratorius,4.17447021510452,9.934256838168949,Chance G
Zenaida macroura,2.1605485063046217,12.718130997382104,Micaiah E
Cyanocitta cristata,1.4709976557642221,5.51918322686106,Chance G
Cyanocitta stelleri,2.0992328906431794,11.69594869017601,Rachel D
Cyanocitta cristata,3.9100414235144854,11.03125634836033,Rachel D
Cyanocitta stelleri,1.712164738215506,10.008005530107766,Micaiah E
Pipilo erythrophthalmus,2.9226388577371836,11.086833360604942,Rachel D
Pipilo erythrophthalmus,3.535393343307078,14.274690351448953,Chance G
Turdus migratorius,3.9986190563067794,13.814553257543594,Chance G
Zenaida macroura,3.563343488611281,12.458295747637749,Chance G
Pipilo erythrophthalmus,1.2373294588178396,10.495943396817893,Rachel D
Zenaida macroura,3.089816971682012,10.196993134450167,Rachel D
Turdus migratorius,3.1663508722558618,9.299942348152399,Micaiah E
Turdus migratorius,1.728306232020259,7.452708764467388,Chance G
Zenaida macroura,3.6520593417808414,5.752927146386355,Chance G
Cyanocitta stelleri,2.0689128674566746,14.501908221282065,Micaiah E
Cyanocitta stelleri,1.824395309202373,14.653802923858166,Chance G
Turdus migratorius,1.1382485153153539,14.903434081934392,Micaiah E
Turdus migratorius,2.1556325163692236,11.813387947622687,Micaiah E
Turdus migratorius,2.15553380176425,9.773835050873458,Micaiah E
Cyanocitta stelleri,4.60961131285876,11.694271981250495,Chance G
Cyanocitta cristata,3.162452533841133,12.745926964562386,Micaiah E
Pipilo erythrophthalmus,4.684949328191578,5.834009391255677,Chance G
Cyanocitta cristata,2.7212059423327446,11.169546626042575,Rachel D
Cyanocitta stelleri,2.681194007396698,14.34887564741075,Rachel D
